Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,43.98,44.887,45.765,45.722,46.752,46.046,47.644,48.066,48.4,48.686,42.667,26.522,49.647,49.914,49.589,50.627,50.951,51.265,51.596,51.959,52.278,52.638,53.012,53.441,53.826,53.937,54.592,54.899,55.174,55.514,55.822,53.781,56.592,57.073,57.64,58.244,58.94,59.671,60.429,61.244,62.049,62.836,63.591,64.288,64.912,65.509,66.048,66.458,67.047,67.527,68.009,68.499,68.989,69.487,70.016,70.543,71.075,71.606,72.122,72.625,71.421,71.103,74.265,74.672,
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.24756098,70.19560976,69.49195122,70.30926829,71.12121951,71.29390244,71.22341463,70.41390244,71.22512195,70.43,71.25634146,70.87365854,70.8995122,71.34219512,71.20804878,71.0497561,71.39487805,70.81609756,71.18463415,71.30829268,71.15756098,71.57195122,71.18609756,71.38634146,71.4997561,71.22804878,71.73073171,71.52682927,71.60439024,71.72243902,71.64146341,71.56097561,71.49439024,71.34682927,71.20878049,71.05341463,70.89731707,70.35121951,71.06097561,71.41219512,71.66341463,71.76829268,71.86585366,72.06585366,72.56341463,72.56097561,72.61219512,72.66341463,72.96341463,73.41219512,73.51219512,74.16341463,74.31463415,74.86097561,74.46585366,74.61463415,74.81219512,74.81463415,74.96341463,75.11219512,73.35609756,71.21219512,74.16097561,75.70731707,
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.634,52.278,53.893,55.449,56.946,58.379,59.745,61.036,62.253,63.35,64.359,65.279,66.095,66.922,67.633,68.276,68.858,69.383,69.85,70.296,70.684,71.037,71.354,71.637,71.884,72.092,72.257,72.377,72.46,72.524,72.587,72.668,72.785,72.939,73.134,73.361,73.61,73.872,74.138,74.405,74.673,74.942,75.209,75.486,75.787,76.125,76.51,76.952,77.457,78.016,78.593,79.141,79.622,79.998,80.214,80.338,80.407,80.407,80.412,80.471,78.683,78.083,80.992,81.284,
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.454,62.813,63.187,63.532,63.897,64.272,64.589,65.03,65.399,65.773,66.163,66.526,66.781,67.147,67.585,68.14,68.529,68.762,68.873,68.96,69.091,69.368,69.682,70.003,70.192,70.289,70.316,70.383,70.508,70.719,70.945,71.183,71.298,71.42,71.429,71.422,71.464,71.597,71.84,72.147,72.481,72.765,73.023,73.213,73.235,73.413,73.456,73.463,73.445,73.455,73.449,73.571,73.707,73.93,74.029,73.805,74.042,74.031,74.062,71.408,72.994,70.752,74.491,74.552,
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.53,59.285,60.122,60.511,61.511,62.213,63.129,63.734,64.006,64.448,64.844,65.181,65.682,66.586,67.635,68.329,68.574,68.779,68.844,69.083,69.603,70.055,70.076,70.097,70.229,70.582,70.751,70.876,70.97,71.445,71.509,71.813,51.967,50.894,66.603,70.188,73.454,73.895,74.472,74.946,75.292,75.573,75.994,76.449,76.489,76.424,76.028,76.162,76.3,76.701,76.827,76.963,77.037,77.129,77.089,77.073,77.124,77.385,77.942,77.394,76.04,74.567,76.777,77.85,
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.25460976,69.73839024,69.46231707,69.70978049,70.6192439,70.5974878,70.76892683,70.92978049,70.81278049,70.97802439,70.7444878,71.01170732,70.84931707,71.00065854,70.85468293,70.45709756,70.39682927,70.28902439,70.08173171,69.93363415,69.92770732,69.9075122,70.07690244,69.79485366,69.56319512,70.99268293,71.5495122,70.9902439,71.34146341,71.48292683,70.83658537,70.37804878,70.02195122,68.97073171,68.76829268,68.46097561,68.51219512,68.46097561,68.40731707,67.90731707,68.91219512,68.50731707,68.05609756,68.55365854,68.95609756,68.85121951,69.40487805,70.20731707,70.45609756,70.40731707,70.40487805,70.55365854,71.96585366,72.47073171,72.97073171,73.62439024,73.82682927,74.12926829,74.17560976,74.22682927,72.13856098,72.07146341,74.10336585,74.18378049,
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.389,52.944,58.741,59.316,59.84,60.356,60.86,61.437,61.961,62.497,63.044,63.546,64.025,64.487,64.936,65.377,65.765,66.135,66.338,66.677,66.884,67.095,67.339,67.601,67.952,68.347,68.743,69.108,69.401,69.534,69.569,69.645,69.601,69.595,69.585,69.484,69.363,69.183,68.906,68.976,68.911,68.944,69.528,69.819,70.152,70.335,70.535,70.652,70.665,70.806,70.875,70.975,71.134,71.276,71.437,71.647,71.843,72.062,72.322,72.577,71.58,70.917,72.19,73.566,
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.482,67.528,67.884,67.689,67.5,67.582,67.718,67.792,67.898,68.088,68.404,68.98,69.643,70.374,70.864,71.171,71.331,71.616,71.968,72.402,72.666,72.892,73.041,73.24,73.365,73.373,73.368,73.454,73.555,73.733,73.952,74.204,74.446,74.766,75.276,75.92,76.52,76.972,77.389,77.854,78.251,78.637,78.841,78.715,78.898,78.874,78.87,79.006,79.101,79.229,79.414,79.651,79.847,80.016,80.199,80.338,80.476,80.686,80.986,81.251,81.456,81.745,82.062,82.309,
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,43.338,43.628,44.002,44.335,44.674,45.09,45.479,45.904,46.342,46.705,47.103,47.483,47.829,48.282,48.752,49.336,49.971,50.387,50.838,51.353,51.828,52.259,52.511,52.861,53.383,53.777,54.247,54.901,55.505,56.146,56.797,57.439,57.923,58.66,59.282,59.787,60.287,60.745,61.227,61.655,62.057,62.538,63.068,63.455,63.819,64.182,64.529,64.939,65.299,65.656,66.003,66.282,66.586,66.777,66.97,67.205,67.392,67.536,67.699,67.82,62.906,61.427,67.434,68.581,
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.162,53.594,54.017,54.452,54.848,55.243,55.625,56.016,56.47,56.898,57.338,57.786,58.255,58.681,59.081,59.556,60.007,60.461,60.922,61.365,61.819,62.267,62.708,63.133,63.553,63.98,64.389,64.785,65.161,65.514,65.862,66.203,66.539,66.892,67.293,67.701,68.108,68.505,68.848,69.211,69.584,69.98,70.396,70.884,71.361,71.832,72.296,72.73,73.111,73.457,73.779,74.047,74.335,74.609,74.823,75.106,75.081,75.383,75.633,75.809,74.506,73.038,74.872,75.848,
